name,epithet
Halfdan,the Black
Ivar,the Boneless
Ubba,of the Raven
Guthrum,the Unlucky
Bjorn,Ironside
Sigurd,Snake-in-the-Eye
Ragnar,Hairy-Breeches
Erik,Bloodaxe
Harald,Fairhair
Thorstein,the Red
Thorkell,the Tall
Gunnar,the Bold
Egil,the Skald
Hakon,the Good
Hrolf,the Walker
Orm,the Old
Toki,the Wise
Grim,Iron-Fist
Kolbein,the Strong
Skarde,the Scarred
Aud,the Deep-Minded
Freydis,the Fearless
Sweyn,Forkbeard
Knut,the Grim
Olaf,the White
Asgeir,the Quiet
Ketil,Flatnose
Onund,Tree-Foot
Bodvar,the Bear
Styrbjorn,the Stout
Einar,the Silent
Hallstein,the Proud
Vagn,the Young
Palnatoke,the Archer
Gorm,the Sleepy
Thorfinn,Skull-Splitter
Sigtrygg,Silkbeard
Eyvind,the Boaster
Hastein,the Cunning
Rollo,of the Sea
